 EPC, RSSI,Count,Date,Time,Product Serial,Location Serial,Product code,Qty
4D4554303034352323180016,-75.7,44,2018/07/19,19:26:10,MET0045##180016,$LOC00YAT101,D0047P,1
4D4554303034352323180017,-59.9,72,2018/07/19,19:26:10,MET0045##180017,$LOC00YAT101,D0047P,1
4D4554303034352323180019,-66.8,91,2018/07/19,19:26:10,MET0045##180019,$LOC00YAT101,D0047P,1
4D4554303034352323180021,-75,31,2018/07/19,19:26:10,MET0045##180021,$LOC00YAT101,D0047P,1
4D4554303034392323170009,-69.7,25,2018/07/19,19:26:10,MET0049##170009,$LOC00YAT101,D0049P,1
4D4554303034392323170014,-71.1,9,2018/07/19,19:26:10,MET0049##170014,$LOC00YAT101,D0049P,1
4D4554303034392323180005,-78,16,2018/07/19,19:26:10,MET0049##180005,$LOC00YAT101,D0049P,1
4D4554303034392323180006,-72.9,3,2018/07/19,19:26:10,MET0049##180006,$LOC00YAT101,D0049P,1
4D4554303034392323180007,-66.8,29,2018/07/19,19:26:10,MET0049##180007,$LOC00YAT101,D0049P,1
4D4554303035302323170011,-73.9,18,2018/07/19,19:26:10,MET0050##170011,$LOC00YAT101,D0050,1
4D4554303035302323170013,-69,42,2018/07/19,19:26:10,MET0050##170013,$LOC00YAT101,D0050,1
4D4554303035302323170016,-70.4,39,2018/07/19,19:26:10,MET0050##170016,$LOC00YAT101,D0050,1
4D4554303035302323170017,-67.9,47,2018/07/19,19:26:10,MET0050##170017,$LOC00YAT101,D0050,1
4D4554303039392323170002,-67.9,33,2018/07/19,19:26:10,MET0099##170002,$LOC00YAT101,H0008,1
4D4554303039392323170007,-71.1,24,2018/07/19,19:26:10,MET0099##170007,$LOC00YAT101,H0008,1
4D4554303130312323170015,-71.9,10,2018/07/19,19:26:10,MET0101##170015,$LOC00YAT101,H0010,1
4D4554303130312323170016,-73.9,7,2018/07/19,19:26:10,MET0101##170016,$LOC00YAT101,H0010,1
4D4554303130312323170018,-71.9,8,2018/07/19,19:26:10,MET0101##170018,$LOC00YAT101,H0010,1
4D4554303130312323170020,-75,21,2018/07/19,19:26:10,MET0101##170020,$LOC00YAT101,H0010,1
4D4554303131312323170008,-75.7,22,2018/07/19,19:26:10,MET0111##170008,$LOC00YAT101,H0020,1
4D4554303131312323170010,-69.7,2,2018/07/19,19:26:10,MET0111##170010,$LOC00YAT101,H0020,1
4D4554303131312323170011,-73.9,15,2018/07/19,19:26:10,MET0111##170011,$LOC00YAT101,H0020,1
4D4554303131312323180001,-78,32,2018/07/19,19:26:10,MET0111##180001,$LOC00YAT101,H0020,1
4D4554303131312323180030,-75,17,2018/07/19,19:26:10,MET0111##180030,$LOC00YAT101,H0020,1
4D4554303131332323170026,-71.9,22,2018/07/19,19:26:10,MET0113##170026,$LOC00YAT101,H0022,1
4D4554303131332323170027,-69,23,2018/07/19,19:26:10,MET0113##170027,$LOC00YAT101,H0022,1
4D4554303131332323170029,-70.4,28,2018/07/19,19:26:10,MET0113##170029,$LOC00YAT101,H0022,1
4D4554303131332323170075,-72.9,52,2018/07/19,19:26:10,MET0113##170075,$LOC00YAT101,H0022,1
4D4554303131342323170009,-73.9,11,2018/07/19,19:26:10,MET0114##170009,$LOC00YAT101,H0023,1
4D4554303131342323170035,-74.4,20,2018/07/19,19:26:10,MET0114##170035,$LOC00YAT101,H0023,1
4D4554303131342323170042,-70.4,15,2018/07/19,19:26:10,MET0114##170042,$LOC00YAT101,H0023,1
4D4554303131342323170077,-59.1,27,2018/07/19,19:26:10,MET0114##170077,$LOC00YAT101,H0023,1
